reference,customer_name,status,last_update
TV-100036,Crestview Distribution,delivered,2026-07-01T08:35:00Z
TV-100037,Bluegum Textiles,delivered,2026-07-04T13:53:00Z
TV-100038,Northern Distribution,delivered,2026-07-03T02:16:00Z
TV-100039,Silverline Logistics,created,2026-07-07T22:09:00Z
TV-100040,Baywater Foods,created,2026-07-01T21:41:00Z
TV-100041,Redwood Freight,picked_up,2026-07-01T23:31:00Z
TV-100042,Harbour Hardware,created,2026-07-08T02:29:00Z
TV-100043,Baywater Trading,delivered,2026-07-02T16:44:00Z
TV-100044,Harbour Supplies,created,2026-07-08T09:07:00Z
TV-100045,Northern Hardware,in_transit,2026-07-04T07:12:00Z
TV-100046,Crestview Retail,picked_up,2026-07-04T08:31:00Z
TV-100047,Ironbark Beverages,in_transit,2026-07-06T12:51:00Z
TV-100048,Sunrise Electronics,created,2026-07-01T10:32:00Z
TV-100049,Silverline Trading,created,2026-07-02T04:00:00Z
TV-100050,Harbour Beverages,picked_up,2026-07-05T07:18:00Z
TV-100051,Sunrise Packaging,in_transit,2026-07-03T03:04:00Z
TV-100052,Redwood Logistics,in_transit,2026-07-08T07:01:00Z
TV-100053,Summit Beverages,in_transit,2026-07-08T21:08:00Z
TV-100054,Silverline Retail,created,2026-07-02T13:13:00Z
TV-100055,Ironbark Trading,picked_up,2026-07-09T11:57:00Z
TV-100056,Kingsway Distribution,in_transit,2026-07-07T02:00:00Z
TV-100057,Bluegum Packaging,created,2026-07-02T09:12:00Z
TV-100058,Golden Hardware,created,2026-07-05T03:04:00Z
TV-100059,Sunrise Pharma,picked_up,2026-07-09T18:24:00Z
TV-100060,Harbour Beverages,created,2026-07-02T14:32:00Z
TV-100061,Pacific Packaging,picked_up,2026-07-07T12:58:00Z
TV-100062,Golden Logistics,picked_up,2026-07-06T05:21:00Z
TV-100063,Northern Hardware,created,2026-07-05T09:42:00Z
TV-100064,Silverline Beverages,created,2026-07-05T08:34:00Z
TV-100065,Riverside Motors,picked_up,2026-07-04T00:38:00Z
TV-100066,Riverside Textiles,delivered,2026-07-01T14:46:00Z
TV-100067,Eastlink Distribution,delivered,2026-07-08T22:55:00Z
TV-100068,Pacific Packaging,created,2026-07-05T16:27:00Z
TV-100069,Coastal Distribution,picked_up,2026-07-06T13:41:00Z
TV-100070,Acme Hardware,picked_up,2026-07-03T20:52:00Z
TV-100071,Harbour Motors,in_transit,2026-07-04T12:04:00Z
TV-100072,Silverline Wholesale,delivered,2026-07-09T01:33:00Z
TV-100073,Riverside Electronics,created,2026-07-04T07:19:00Z
TV-100074,Summit Electronics,in_transit,2026-07-01T18:26:00Z
TV-100075,Highland Pharma,in_transit,2026-07-06T07:09:00Z
TV-100076,Pacific Textiles,picked_up,2026-07-04T05:33:00Z
TV-100077,Bluegum Freight,picked_up,2026-07-05T11:27:00Z
TV-100078,Ironbark Hardware,in_transit,2026-07-08T10:09:00Z
TV-100079,Skyline Hardware,in_transit,2026-07-07T02:28:00Z
TV-100080,Skyline Pharma,delivered,2026-07-09T06:23:00Z
TV-100081,Crestview Hardware,delivered,2026-07-08T21:34:00Z
TV-100082,Baywater Distribution,picked_up,2026-07-08T08:04:00Z
TV-100083,Skyline Trading,created,2026-07-04T18:58:00Z
TV-100084,Sunrise Foods,in_transit,2026-07-06T14:58:00Z
TV-100085,Riverside Hardware,delivered,2026-07-09T16:57:00Z
TV-100086,Eastlink Hardware,in_transit,2026-07-02T09:30:00Z
TV-100087,Acme Logistics,picked_up,2026-07-03T00:14:00Z
TV-100088,Harbour Foods,delivered,2026-07-08T06:55:00Z
TV-100089,Crestview Foods,picked_up,2026-07-09T12:09:00Z
TV-100090,Acme Beverages,picked_up,2026-07-08T19:08:00Z
TV-100091,Bluegum Trading,created,2026-07-10T04:33:00Z
TV-100092,Silverline Trading,delivered,2026-07-01T21:42:00Z
TV-100093,Golden Motors,created,2026-07-06T12:38:00Z
TV-100094,Sunrise Electronics,in_transit,2026-07-09T22:14:00Z
TV-100095,Sunrise Beverages,delivered,2026-07-07T13:36:00Z
TV-100096,Metro Motors,delivered,2026-07-06T10:53:00Z
TV-100097,Redwood Foods,in_transit,2026-07-10T01:07:00Z
TV-100098,Harbour Textiles,in_transit,2026-07-06T08:06:00Z
TV-100099,Ironbark Beverages,in_transit,2026-07-05T03:42:00Z
TV-100100,Eastlink Supplies,picked_up,2026-07-03T01:11:00Z
TV-100101,Bluegum Supplies,picked_up,2026-07-02T01:32:00Z
TV-100102,Pacific Trading,delivered,2026-07-06T01:32:00Z
TV-100103,Baywater Textiles,delivered,2026-07-10T02:12:00Z
TV-100104,Baywater Supplies,failed,2026-07-10T01:03:00Z
TV-100105,Crestview Packaging,in_transit,2026-07-04T17:32:00Z
TV-100106,Silverline Motors,delivered,2026-07-07T10:58:00Z
TV-100107,Eastlink Distribution,picked_up,2026-07-06T21:19:00Z
TV-100108,Ironbark Hardware,created,2026-07-05T18:11:00Z
TV-100109,Riverside Packaging,delivered,2026-07-09T13:44:00Z
TV-100110,Silverline Logistics,picked_up,2026-07-08T09:55:00Z
TV-100111,Bluegum Retail,created,2026-07-02T06:55:00Z
TV-100112,Metro Supplies,picked_up,2026-07-01T21:43:00Z
TV-100113,Ironbark Motors,delivered,2026-07-05T01:15:00Z
TV-100114,Bluegum Distribution,in_transit,2026-07-09T21:20:00Z
TV-100115,Silverline Logistics,delivered,2026-07-01T13:17:00Z
TV-100116,Harbour Motors,in_transit,2026-07-03T21:13:00Z
TV-100117,Acme Trading,created,2026-07-09T21:57:00Z
TV-100118,Golden Trading,created,2026-07-08T09:39:00Z
TV-100119,Northern Foods,created,2026-07-07T18:00:00Z
TV-100120,Highland Electronics,in_transit,2026-07-03T05:49:00Z
TV-100121,Riverside Distribution,created,2026-07-10T04:23:00Z
TV-100122,Baywater Hardware,created,2026-07-04T21:11:00Z
TV-100123,Northern Freight,delivered,2026-07-05T20:18:00Z
TV-100124,Skyline Packaging,picked_up,2026-07-02T11:49:00Z
TV-100125,Pacific Wholesale,created,2026-07-07T18:32:00Z
TV-100126,Redwood Hardware,in_transit,2026-07-02T02:49:00Z
TV-100127,Summit Supplies,delivered,2026-07-06T21:51:00Z
TV-100128,Golden Supplies,delivered,2026-07-09T09:08:00Z
TV-100129,Silverline Motors,in_transit,2026-07-08T08:11:00Z
TV-100130,Baywater Distribution,delivered,2026-07-09T15:37:00Z
TV-100131,Metro Beverages,picked_up,2026-07-02T07:39:00Z
TV-100132,Highland Hardware,delivered,2026-07-07T19:36:00Z
TV-100133,Ironbark Retail,created,2026-07-06T22:58:00Z
TV-100134,Ironbark Distribution,in_transit,2026-07-04T06:32:00Z
TV-100135,Acme Pharma,in_transit,2026-07-07T15:46:00Z
TV-100136,Bluegum Foods,created,2026-07-04T01:54:00Z
TV-100137,Kingsway Hardware,picked_up,2026-07-09T04:34:00Z
TV-100138,Harbour Distribution,delivered,2026-07-01T12:42:00Z
TV-100139,Baywater Wholesale,picked_up,2026-07-04T19:36:00Z
TV-100140,Silverline Wholesale,in_transit,2026-07-06T04:11:00Z
TV-100141,Skyline Distribution,delivered,2026-07-04T09:58:00Z
TV-100142,Summit Textiles,picked_up,2026-07-04T22:09:00Z
TV-100143,Northern Textiles,picked_up,2026-07-03T12:18:00Z
TV-100144,Northern Distribution,in_transit,2026-07-02T11:27:00Z
TV-100145,Acme Textiles,picked_up,2026-07-04T18:32:00Z
TV-100146,Pacific Pharma,in_transit,2026-07-01T20:25:00Z
TV-100147,Kingsway Freight,picked_up,2026-07-08T14:10:00Z
TV-100148,Kingsway Foods,in_transit,2026-07-06T16:10:00Z
TV-100149,Kingsway Freight,created,2026-07-04T04:56:00Z
TV-100150,Harbour Electronics,delivered,2026-07-06T22:16:00Z
TV-100151,Golden Motors,created,2026-07-03T01:25:00Z
TV-100152,Eastlink Freight,in_transit,2026-07-02T07:15:00Z
TV-100153,Highland Motors,delivered,2026-07-08T05:33:00Z
TV-100154,Sunrise Distribution,delivered,2026-07-06T11:01:00Z
TV-100155,Baywater Electronics,delivered,2026-07-04T19:23:00Z
TV-100156,Northern Hardware,created,2026-07-10T00:16:00Z
TV-100157,Eastlink Retail,created,2026-07-03T02:53:00Z
TV-100158,Bluegum Foods,picked_up,2026-07-01T08:43:00Z
TV-100159,Pacific Trading,delivered,2026-07-04T15:31:00Z
TV-100160,Sunrise Freight,in_transit,2026-07-09T07:57:00Z
TV-100161,Baywater Hardware,in_transit,2026-07-10T07:07:00Z
TV-100162,Summit Pharma,picked_up,2026-07-06T04:05:00Z
TV-100163,Golden Freight,picked_up,2026-07-04T08:32:00Z
TV-100164,Baywater Beverages,in_transit,2026-07-08T02:29:00Z
TV-100165,Skyline Textiles,created,2026-07-06T15:59:00Z
TV-100166,Silverline Foods,in_transit,2026-07-07T00:39:00Z
TV-100167,Ironbark Electronics,created,2026-07-06T05:58:00Z
TV-100168,Baywater Electronics,created,2026-07-03T22:30:00Z
TV-100169,Pacific Motors,in_transit,2026-07-07T21:21:00Z
TV-100170,Sunrise Beverages,delivered,2026-07-07T05:42:00Z
TV-100171,Kingsway Freight,delivered,2026-07-08T13:20:00Z
TV-100172,Ironbark Hardware,delivered,2026-07-05T03:00:00Z
TV-100173,Bluegum Textiles,picked_up,2026-07-05T02:03:00Z
TV-100174,Silverline Logistics,delivered,2026-07-09T23:40:00Z
TV-100175,Ironbark Freight,in_transit,2026-07-04T04:55:00Z
TV-100176,Acme Hardware,delivered,2026-07-07T04:31:00Z
TV-100177,Pacific Trading,delivered,2026-07-06T00:50:00Z
TV-100178,Sunrise Motors,delivered,2026-07-08T10:46:00Z
TV-100179,Golden Beverages,in_transit,2026-07-07T13:58:00Z
TV-100180,Acme Hardware,delivered,2026-07-02T17:09:00Z
TV-100181,Riverside Distribution,picked_up,2026-07-09T09:49:00Z
TV-100182,Eastlink Packaging,delivered,2026-07-02T09:27:00Z
TV-100183,Golden Foods,delivered,2026-07-02T16:04:00Z
TV-100184,Metro Supplies,in_transit,2026-07-07T02:57:00Z
TV-100185,Sunrise Pharma,delivered,2026-07-04T02:33:00Z
TV-100186,Redwood Textiles,picked_up,2026-07-08T03:40:00Z
TV-100187,Bluegum Wholesale,created,2026-07-04T11:26:00Z
TV-100188,Skyline Textiles,in_transit,2026-07-01T08:42:00Z
TV-100189,Sunrise Pharma,delivered,2026-07-03T00:34:00Z
TV-100190,Silverline Supplies,in_transit,2026-07-07T14:42:00Z
TV-100191,Eastlink Electronics,in_transit,2026-07-03T11:30:00Z
TV-100192,Ironbark Textiles,delivered,2026-07-01T19:55:00Z
TV-100193,Golden Foods,delivered,2026-07-05T17:25:00Z
TV-100194,Baywater Wholesale,picked_up,2026-07-07T01:09:00Z
TV-100195,Redwood Beverages,delivered,2026-07-02T11:13:00Z
TV-100196,Golden Freight,picked_up,2026-07-05T23:57:00Z
TV-100197,Highland Textiles,in_transit,2026-07-05T04:26:00Z
TV-100198,Silverline Supplies,created,2026-07-05T01:43:00Z
TV-100199,Pacific Electronics,delivered,2026-07-07T11:44:00Z
TV-100200,Harbour Supplies,in_transit,2026-07-03T22:07:00Z
TV-100201,Riverside Textiles,created,2026-07-06T09:09:00Z
TV-100202,Ironbark Motors,created,2026-07-01T20:33:00Z
TV-100203,Bluegum Retail,in_transit,2026-07-05T14:21:00Z
TV-100204,Riverside Retail,delivered,2026-07-07T18:32:00Z
TV-100205,Eastlink Foods,delivered,2026-07-08T09:13:00Z
TV-100206,Sunrise Hardware,picked_up,2026-07-03T23:24:00Z
TV-100207,Acme Beverages,in_transit,2026-07-08T22:05:00Z
TV-100208,Silverline Retail,in_transit,2026-07-09T01:01:00Z
TV-100209,Skyline Hardware,in_transit,2026-07-08T00:26:00Z
TV-100210,Skyline Trading,in_transit,2026-07-06T12:44:00Z
TV-100211,Eastlink Supplies,delivered,2026-07-02T13:07:00Z
TV-100212,Skyline Logistics,in_transit,2026-07-09T06:56:00Z
TV-100213,Acme Electronics,delivered,2026-07-04T10:57:00Z
TV-100214,Kingsway Packaging,created,2026-07-08T05:35:00Z
TV-100215,Eastlink Electronics,in_transit,2026-07-10T03:49:00Z
TV-100216,Northern Electronics,picked_up,2026-07-08T13:50:00Z
TV-100217,Summit Beverages,picked_up,2026-07-08T11:33:00Z
TV-100218,Sunrise Logistics,created,2026-07-04T20:21:00Z
TV-100219,Skyline Wholesale,picked_up,2026-07-02T08:36:00Z
TV-100220,Golden Motors,picked_up,2026-07-03T14:49:00Z
TV-100221,Redwood Beverages,in_transit,2026-07-07T08:57:00Z
TV-100222,Kingsway Motors,picked_up,2026-07-04T06:10:00Z
TV-100223,Sunrise Freight,in_transit,2026-07-02T15:26:00Z
TV-100224,Crestview Packaging,picked_up,2026-07-09T00:40:00Z
TV-100225,Crestview Logistics,in_transit,2026-07-02T08:39:00Z
TV-100226,Coastal Hardware,created,2026-07-06T12:11:00Z
TV-100227,Crestview Packaging,in_transit,2026-07-07T23:37:00Z
TV-100228,Eastlink Foods,in_transit,2026-07-02T13:35:00Z
TV-100229,Ironbark Beverages,failed,2026-07-07T17:18:00Z
TV-100230,Sunrise Beverages,created,2026-07-08T13:30:00Z
TV-100231,Golden Logistics,delivered,2026-07-02T15:51:00Z
TV-100232,Summit Freight,in_transit,2026-07-06T22:31:00Z
TV-100233,Sunrise Wholesale,picked_up,2026-07-05T18:07:00Z
TV-100234,Golden Beverages,delivered,2026-07-08T00:22:00Z
TV-100235,Highland Supplies,created,2026-07-06T21:37:00Z
TV-100236,Coastal Trading,in_transit,2026-07-01T16:56:00Z
TV-100237,Summit Hardware,picked_up,2026-07-05T11:02:00Z
TV-100238,Crestview Distribution,in_transit,2026-07-02T00:32:00Z
TV-100239,Harbour Hardware,created,2026-07-06T12:10:00Z
TV-100240,Ironbark Trading,created,2026-07-01T21:48:00Z
TV-100241,Silverline Trading,picked_up,2026-07-02T02:44:00Z
TV-100242,Golden Motors,picked_up,2026-07-05T01:43:00Z
TV-100243,Golden Retail,created,2026-07-04T11:42:00Z
TV-100244,Acme Retail,picked_up,2026-07-02T14:01:00Z
TV-100245,Eastlink Electronics,failed,2026-07-10T07:43:00Z
TV-100246,Pacific Retail,picked_up,2026-07-04T08:27:00Z
TV-100247,Harbour Foods,created,2026-07-09T19:36:00Z
TV-100248,Baywater Freight,in_transit,2026-07-07T04:08:00Z
TV-100249,Pacific Textiles,picked_up,2026-07-08T07:57:00Z
TV-100250,Acme Logistics,in_transit,2026-07-06T13:04:00Z
TV-100251,Summit Foods,delivered,2026-07-06T04:24:00Z
TV-100252,Harbour Wholesale,delivered,2026-07-02T04:04:00Z
TV-100253,Metro Electronics,created,2026-07-02T18:27:00Z
TV-100254,Highland Pharma,in_transit,2026-07-05T16:00:00Z
TV-100255,Summit Packaging,delivered,2026-07-02T11:04:00Z
TV-100256,Sunrise Beverages,picked_up,2026-07-06T05:26:00Z
TV-100257,Crestview Supplies,in_transit,2026-07-06T11:50:00Z
TV-100258,Ironbark Hardware,in_transit,2026-07-06T04:32:00Z
TV-100259,Kingsway Freight,picked_up,2026-07-09T03:32:00Z
TV-100260,Bluegum Freight,created,2026-07-02T09:27:00Z
TV-100261,Silverline Logistics,in_transit,2026-07-02T19:31:00Z
TV-100262,Summit Supplies,in_transit,2026-07-08T22:57:00Z
TV-100263,Pacific Distribution,delivered,2026-07-09T12:53:00Z
TV-100264,Baywater Pharma,in_transit,2026-07-02T12:17:00Z
TV-100265,Summit Wholesale,delivered,2026-07-03T21:14:00Z
TV-100266,Metro Electronics,in_transit,2026-07-02T15:22:00Z
TV-100267,Highland Electronics,delivered,2026-07-07T17:10:00Z
TV-100268,Metro Logistics,created,2026-07-08T06:17:00Z
TV-100269,Coastal Logistics,in_transit,2026-07-05T04:47:00Z
TV-100270,Crestview Freight,picked_up,2026-07-07T18:38:00Z
TV-100271,Redwood Trading,created,2026-07-02T09:03:00Z
TV-100272,Riverside Wholesale,delivered,2026-07-05T05:05:00Z
TV-100273,Baywater Electronics,in_transit,2026-07-10T04:07:00Z
TV-100274,Riverside Motors,created,2026-07-03T02:29:00Z
TV-100275,Sunrise Hardware,created,2026-07-04T10:18:00Z
TV-100276,Metro Trading,delivered,2026-07-06T01:05:00Z
TV-100277,Bluegum Freight,created,2026-07-05T06:15:00Z
TV-100278,Skyline Logistics,delivered,2026-07-07T07:53:00Z
TV-100279,Northern Distribution,created,2026-07-01T10:05:00Z
TV-100280,Metro Distribution,picked_up,2026-07-10T00:40:00Z
TV-100281,Bluegum Retail,created,2026-07-06T23:49:00Z
TV-100282,Silverline Packaging,picked_up,2026-07-07T00:36:00Z
TV-100283,Crestview Packaging,in_transit,2026-07-02T03:40:00Z
TV-100284,Sunrise Beverages,delivered,2026-07-01T13:07:00Z
TV-100285,Bluegum Electronics,in_transit,2026-07-07T21:13:00Z
TV-100286,Summit Supplies,delivered,2026-07-04T15:03:00Z
TV-100287,Riverside Motors,failed,2026-07-05T00:41:00Z
TV-100288,Coastal Freight,delivered,2026-07-09T04:18:00Z
TV-100289,Bluegum Electronics,created,2026-07-04T02:26:00Z
TV-100290,Skyline Textiles,created,2026-07-05T20:04:00Z
TV-100291,Riverside Freight,in_transit,2026-07-10T04:45:00Z
TV-100292,Redwood Trading,created,2026-07-07T08:53:00Z
TV-100293,Golden Trading,in_transit,2026-07-05T07:52:00Z
TV-100294,Riverside Electronics,in_transit,2026-07-03T13:52:00Z
TV-100295,Kingsway Foods,created,2026-07-03T08:22:00Z
TV-100296,Baywater Hardware,delivered,2026-07-09T01:59:00Z
TV-100297,Ironbark Retail,in_transit,2026-07-08T11:16:00Z
TV-100298,Skyline Motors,delivered,2026-07-06T08:45:00Z
TV-100299,Redwood Freight,created,2026-07-05T08:06:00Z
TV-100300,Pacific Wholesale,delivered,2026-07-01T18:16:00Z
TV-100301,Harbour Electronics,created,2026-07-08T16:02:00Z
TV-100302,Baywater Pharma,delivered,2026-07-06T14:21:00Z
TV-100303,Baywater Hardware,created,2026-07-06T10:48:00Z
TV-100304,Golden Logistics,delivered,2026-07-07T00:54:00Z
TV-100305,Harbour Pharma,in_transit,2026-07-09T11:03:00Z
TV-100306,Sunrise Foods,created,2026-07-04T03:39:00Z
TV-100307,Coastal Beverages,picked_up,2026-07-05T11:22:00Z
TV-100308,Ironbark Hardware,delivered,2026-07-10T03:28:00Z
TV-100309,Ironbark Freight,in_transit,2026-07-02T01:59:00Z
TV-100310,Metro Textiles,delivered,2026-07-04T13:35:00Z
TV-100311,Harbour Electronics,picked_up,2026-07-05T03:01:00Z
TV-100312,Crestview Retail,in_transit,2026-07-04T20:42:00Z
TV-100313,Silverline Supplies,created,2026-07-04T20:32:00Z
TV-100314,Redwood Freight,in_transit,2026-07-02T18:53:00Z
TV-100315,Coastal Logistics,delivered,2026-07-07T02:51:00Z
TV-100316,Ironbark Motors,picked_up,2026-07-03T18:29:00Z
TV-100317,Golden Freight,picked_up,2026-07-02T21:33:00Z
TV-100318,Silverline Packaging,created,2026-07-07T02:37:00Z
TV-100319,Ironbark Beverages,created,2026-07-08T20:45:00Z
TV-100320,Crestview Retail,picked_up,2026-07-08T03:05:00Z
TV-100321,Sunrise Logistics,picked_up,2026-07-09T12:55:00Z
TV-100322,Highland Distribution,picked_up,2026-07-06T09:17:00Z
TV-100323,Silverline Trading,delivered,2026-07-03T23:53:00Z
TV-100324,Coastal Hardware,delivered,2026-07-03T12:58:00Z
TV-100325,Skyline Motors,delivered,2026-07-06T14:04:00Z
TV-100326,Northern Motors,delivered,2026-07-03T04:15:00Z
TV-100327,Kingsway Packaging,in_transit,2026-07-01T22:14:00Z
TV-100328,Redwood Packaging,created,2026-07-09T10:15:00Z
TV-100329,Riverside Distribution,created,2026-07-10T00:22:00Z
TV-100330,Harbour Beverages,picked_up,2026-07-06T07:27:00Z
TV-100331,Acme Supplies,delivered,2026-07-05T07:27:00Z
TV-100332,Crestview Freight,in_transit,2026-07-04T00:22:00Z
TV-100333,Summit Packaging,created,2026-07-04T23:01:00Z
TV-100334,Golden Logistics,in_transit,2026-07-02T23:52:00Z
TV-100335,Golden Motors,delivered,2026-07-09T06:04:00Z
TV-100336,Acme Beverages,delivered,2026-07-08T08:01:00Z
TV-100337,Golden Pharma,in_transit,2026-07-03T18:53:00Z
TV-100338,Skyline Trading,delivered,2026-07-02T14:21:00Z
TV-100339,Bluegum Hardware,created,2026-07-04T01:06:00Z
TV-100340,Summit Packaging,delivered,2026-07-02T01:09:00Z
TV-100341,Redwood Electronics,created,2026-07-08T12:33:00Z
TV-100342,Bluegum Logistics,picked_up,2026-07-04T15:32:00Z
TV-100343,Bluegum Retail,picked_up,2026-07-07T19:49:00Z
TV-100344,Coastal Freight,created,2026-07-07T06:56:00Z
TV-100345,Kingsway Logistics,created,2026-07-05T18:37:00Z
TV-100346,Acme Wholesale,in_transit,2026-07-04T05:15:00Z
TV-100347,Summit Motors,in_transit,2026-07-04T01:50:00Z
TV-100348,Pacific Wholesale,in_transit,2026-07-02T20:25:00Z
TV-100349,Sunrise Textiles,picked_up,2026-07-10T04:45:00Z
TV-100350,Harbour Textiles,picked_up,2026-07-02T20:49:00Z
TV-100351,Skyline Trading,delivered,2026-07-01T18:05:00Z
TV-100352,Pacific Wholesale,failed,2026-07-03T14:28:00Z
TV-100353,Kingsway Distribution,delivered,2026-07-07T12:17:00Z
TV-100354,Northern Distribution,failed,2026-07-08T16:38:00Z
TV-100355,Ironbark Distribution,created,2026-07-08T19:03:00Z
TV-100356,Crestview Textiles,in_transit,2026-07-06T07:19:00Z
TV-100357,Riverside Foods,delivered,2026-07-05T04:34:00Z
TV-100358,Metro Motors,in_transit,2026-07-07T05:47:00Z
TV-100359,Bluegum Electronics,delivered,2026-07-02T05:33:00Z
TV-100360,Skyline Wholesale,picked_up,2026-07-07T12:57:00Z
TV-100361,Skyline Distribution,in_transit,2026-07-08T20:28:00Z
TV-100362,Sunrise Wholesale,delivered,2026-07-03T05:30:00Z
TV-100363,Bluegum Distribution,in_transit,2026-07-08T07:53:00Z
TV-100364,Crestview Wholesale,created,2026-07-02T04:29:00Z
TV-100365,Golden Packaging,picked_up,2026-07-01T16:30:00Z
TV-100366,Golden Freight,delivered,2026-07-01T17:30:00Z
TV-100367,Crestview Electronics,in_transit,2026-07-05T10:53:00Z
TV-100368,Sunrise Wholesale,failed,2026-07-03T01:53:00Z
TV-100369,Golden Pharma,created,2026-07-07T20:43:00Z
TV-100370,Metro Trading,in_transit,2026-07-08T17:22:00Z
TV-100371,Riverside Foods,created,2026-07-09T16:53:00Z
TV-100372,Metro Textiles,created,2026-07-04T07:28:00Z
TV-100373,Kingsway Trading,in_transit,2026-07-09T05:30:00Z
TV-100374,Riverside Beverages,created,2026-07-06T11:26:00Z
TV-100375,Ironbark Hardware,created,2026-07-09T02:12:00Z
TV-100376,Silverline Distribution,created,2026-07-07T14:11:00Z
TV-100377,Riverside Motors,picked_up,2026-07-09T10:22:00Z
TV-100378,Northern Motors,picked_up,2026-07-02T17:08:00Z
TV-100379,Coastal Pharma,delivered,2026-07-01T15:10:00Z
TV-100380,Golden Electronics,delivered,2026-07-07T14:38:00Z
TV-100381,Crestview Textiles,created,2026-07-04T20:27:00Z
TV-100382,Bluegum Packaging,delivered,2026-07-10T02:01:00Z
TV-100383,Harbour Foods,picked_up,2026-07-04T22:34:00Z
TV-100384,Silverline Hardware,in_transit,2026-07-02T19:02:00Z
TV-100385,Redwood Beverages,picked_up,2026-07-06T06:08:00Z
TV-100386,Golden Distribution,created,2026-07-07T05:28:00Z
TV-100387,Eastlink Wholesale,in_transit,2026-07-09T09:41:00Z
TV-100388,Metro Trading,in_transit,2026-07-02T05:32:00Z
TV-100389,Skyline Electronics,in_transit,2026-07-02T18:10:00Z
TV-100390,Baywater Retail,picked_up,2026-07-08T01:36:00Z
TV-100391,Pacific Packaging,in_transit,2026-07-07T17:54:00Z
TV-100392,Baywater Distribution,created,2026-07-01T20:24:00Z
TV-100393,Acme Foods,delivered,2026-07-08T08:47:00Z
TV-100394,Skyline Foods,in_transit,2026-07-08T15:17:00Z
TV-100395,Sunrise Freight,delivered,2026-07-04T17:13:00Z
TV-100396,Bluegum Foods,picked_up,2026-07-06T08:02:00Z
TV-100397,Golden Wholesale,in_transit,2026-07-08T05:39:00Z
TV-100398,Coastal Supplies,in_transit,2026-07-09T16:29:00Z
TV-100399,Silverline Freight,in_transit,2026-07-07T04:37:00Z
TV-100400,Metro Foods,delivered,2026-07-02T17:27:00Z
TV-100401,Skyline Supplies,created,2026-07-01T21:49:00Z
TV-100402,Riverside Packaging,delivered,2026-07-04T03:47:00Z
TV-100403,Riverside Foods,in_transit,2026-07-03T11:50:00Z
TV-100404,Skyline Foods,delivered,2026-07-07T00:11:00Z
TV-100405,Redwood Foods,failed,2026-07-05T19:22:00Z
TV-100406,Coastal Logistics,picked_up,2026-07-07T23:17:00Z
TV-100407,Kingsway Distribution,delivered,2026-07-08T03:09:00Z
TV-100408,Golden Beverages,created,2026-07-06T05:40:00Z
TV-100409,Crestview Wholesale,in_transit,2026-07-10T00:35:00Z
TV-100410,Baywater Pharma,failed,2026-07-01T21:58:00Z
TV-100411,Crestview Pharma,in_transit,2026-07-02T04:04:00Z
TV-100412,Highland Freight,in_transit,2026-07-08T10:11:00Z
TV-100413,Coastal Motors,created,2026-07-05T19:33:00Z
TV-100414,Golden Trading,in_transit,2026-07-09T22:09:00Z
